tpeak,amp,ed_s,fall
1491.755191,1.007995464,6.234005622,0.008475195
1491.780191,1.002403764,0.573106282,0.001901966
1492.174644,1.027162451,17.00738078,0.006296478
1492.23159,1.035210195,13.58834991,0.003898511
1492.337147,1.004092873,1.481015015,0.003474864
1492.427427,1.014525758,8.708140527,0.006258268
1492.739933,1.00336999,1.519358415,0.004661372
1492.84688,1.00562973,1.331380943,0.001857816
1493.06355,1.026593494,8.535035758,0.003157233
1493.284388,1.002936867,1.68667319,0.006035679
1493.371889,1.004599646,1.62558951,0.003387259
1493.595504,1.004136959,3.550192834,0.01
1493.770507,1.012882221,3.230469011,0.002217635
1493.90662,1.026292843,11.96859307,0.004588257
1493.996899,1.019733472,10.64965701,0.005404812
1494.278848,1.02171228,6.468873972,0.002737341
1494.731633,1.015166574,3.487902643,0.001913868
1494.758022,1.007086723,4.405367215,0.007974933
1494.889968,1.004233215,2.869677221,0.008009355
1495.105249,1.003938237,0.97174459,0.002050667
1495.492754,1.005749707,5.009762147,0.01
1495.742757,1.003227994,1.079507985,0.003130221
1496.178872,1.052160709,18.85113378,0.003483173
1496.299707,1.0039232,3.34822242,0.008789946
1496.383041,1.006059239,1.183279766,0.001465195
1496.437208,1.005725034,1.529026993,0.002296789
1496.480264,1.00567691,1.68031943,0.002755072
1496.566376,1.00868369,3.002813325,0.003260867
1496.774711,1.00420279,2.185781709,0.005835111
1496.901101,1.002920231,0.893685908,0.002887798
1496.938602,1.002130822,0.924937736,0.004032483
1496.994158,1.002838855,2.330941376,0.01
1497.051103,1.003877026,1.484081019,0.004076402
1497.116381,1.005389154,4.704449282,0.01
1497.209437,1.007895654,4.884734683,0.006562834
1497.344161,1.002635823,2.271826576,0.01
1497.437217,1.004851219,1.380718366,0.00249799
1497.617774,1.046339652,16.24856435,0.003402482
1497.688608,1.011291629,7.259867995,0.006586991
1498.135833,1.003335929,2.696946251,0.01
1498.195555,1.004548776,4.318900319,0.01
1498.292778,1.014162015,3.452269154,0.002076798
1498.915003,1.008899993,2.466310441,0.002540178
1499.355282,1.008317414,1.744445641,0.001688236
1499.39556,1.005457042,1.98411954,0.003384851
1499.619172,1.01484229,3.140413921,0.001678965
1500.870561,1.005483885,1.639491237,0.002772062
1500.945561,1.002925061,1.076367962,0.003749794
1501.256671,1.005029524,4.292313146,0.01
1501.795558,1.002241642,0.563241467,0.002107651
1501.956669,1.003207132,1.867820982,0.006538229
1502.065001,1.002062989,1.827973571,0.009585873
1502.227501,1.00613344,3.731852358,0.005987682
1502.324722,1.005265833,4.879872452,0.01
1502.405277,1.003471086,0.992020115,0.002656451
1502.502499,1.013213367,5.097204747,0.003840674
1502.56361,1.002598233,0.732225101,0.002363298
